-0,035	-0,055	-0,060
-0,035	0,008	0,036
-0,003	-0,023	-0,124
-0,098	-0,023	-0,028
0,092	-0,023	-0,028
-0,098	-0,055	-0,028
0,029	0,104	0,004
-0,003	0,008	-0,092
-0,067	0,008	0,099
0,061	0,008	-0,060
-0,098	-0,055	0,036
0,092	0,072	0,004
-0,003	-0,087	-0,060
-0,003	0,104	0,067
0,092	0,008	0,004
-0,098	0,008	0,004
-0,003	0,072	0,004
0,029	-0,087	-0,060
-0,098	-0,023	0,004
0,092	-0,023	0,067
-0,003	-0,087	-0,092
-0,067	0,008	0,067
0,061	-0,055	-0,028
-0,067	-0,055	0,036
0,092	0,072	-0,028
-0,003	-0,087	0,004
-0,035	0,040	0,067
0,061	-0,023	-0,092
0,029	-0,023	0,004
-0,003	0,072	-0,028
-0,035	-0,023	-0,124
-0,098	-0,023	0,036
-0,003	0,008	-0,028
-0,035	-0,119	-0,124
-0,098	-0,055	-0,028
-0,035	0,072	0,067
0,092	0,008	0,004
-0,003	-0,119	0,004
-0,098	0,072	0,067
0,092	0,040	-0,092
-0,003	-0,119	0,004
-0,003	-0,023	0,036
0,092	0,040	0,004
-0,003	-0,087	0,004
-0,067	0,008	0,131
0,061	0,104	0,067
0,092	-0,087	-0,028
-0,003	0,008	0,004
0,029	0,072	0,099
0,092	0,008	0,004
-0,003	-0,023	0,004
-0,003	0,104	0,067
0,124	-0,023	0,004
0,029	-0,087	0,004
-0,067	0,072	0,036
0,092	-0,055	-0,028
-0,003	-0,151	-0,124
-0,067	0,040	0,036
0,092	-0,023	0,004
-0,003	-0,055	-0,060
-0,098	0,104	0,067
0,061	0,008	0,004
-0,003	-0,087	0,004
-0,067	0,072	0,099
0,061	-0,023	0,004
-0,003	-0,087	0,004
-0,067	0,072	0,099
0,124	-0,023	-0,060
-0,035	-0,119	0,004
0,029	-0,023	0,036
0,061	-0,023	-0,092
-0,035	-0,023	-0,028
-0,035	0,008	0,067
0,029	0,008	0,004
-0,035	-0,055	-0,028
-0,098	-0,023	0,004
-0,003	0,104	0,004
0,092	-0,119	0,004
-0,098	0,008	-0,028
-0,003	0,008	0,067
0,061	-0,023	0,004
-0,003	-0,055	-0,124
-0,067	-0,055	0,036
0,092	0,040	0,004
-0,003	-0,055	-0,092
-0,067	0,008	0,067
0,029	-0,023	-0,028
0,061	-0,087	-0,092
-0,098	0,008	0,067
0,061	0,104	0,004
-0,035	-0,023	-0,060
-0,098	-0,087	0,004
-0,003	0,104	0,036
0,092	0,008	-0,028
0,029	-0,055	-0,092
-0,098	0,008	0,036
-0,003	0,008	0,004
-0,003	0,008	-0,092
-0,098	0,008	0,004
-0,003	0,008	0,004
-0,003	0,008	-0,060
-0,098	-0,087	0,004
-0,003	0,104	0,131
0,092	0,008	0,004
-0,003	-0,087	0,036
-0,067	-0,023	0,131
0,061	0,104	0,004
-0,003	0,008	-0,092
-0,098	-0,023	0,004
-0,003	0,040	0,131
-0,003	0,008	0,004
-0,003	0,008	0,004
-0,003	-0,023	0,099
0,029	0,072	0,004
-0,003	0,008	-0,092
-0,067	-0,055	0,004
0,061	0,040	0,067
0,092	0,008	-0,028
-0,003	-0,055	-0,092
-0,003	0,008	0,036
0,124	0,040	0,004
0,124	-0,055	-0,092
-0,098	0,040	0,004
-0,003	0,104	0,067
0,061	-0,087	-0,124
-0,003	-0,023	-0,028
-0,003	0,104	0,004
-0,035	-0,023	-0,092
-0,130	-0,087	0,004
-0,035	-0,023	0,099
0,092	0,072	0,004
-0,003	-0,087	0,036
-0,003	-0,023	0,099
0,092	-0,023	-0,092
0,061	-0,087	0,004
0,029	-0,023	0,036
0,124	0,040	0,004
0,029	-0,055	0,036
-0,035	-0,023	0,099
0,124	0,040	0,004
-0,035	-0,023	-0,060
-0,067	0,008	0,036
-0,003	0,104	0,067
0,092	0,008	-0,092
-0,067	-0,023	0,004
-0,035	0,072	0,004
-0,067	-0,023	-0,092
-0,035	0,008	0,004
-0,098	0,072	0,067
0,092	-0,023	-0,028
-0,003	-0,055	-0,092
-0,098	0,104	0,036
-0,003	-0,023	0,004
-0,003	-0,087	-0,124
-0,067	0,008	-0,028
0,029	0,008	0,004
-0,003	-0,055	-0,092
-0,035	-0,023	0,067
0,029	-0,023	-0,028
0,061	-0,055	-0,092
-0,035	-0,023	0,067
0,156	0,040	0,004
-0,003	-0,023	-0,092
-0,035	-0,087	0,004
-0,003	0,008	0,004
0,124	0,008	-0,092
-0,003	-0,055	0,004
-0,003	0,040	0,067
0,092	0,072	0,004
-0,003	-0,055	-0,124
-0,067	-0,023	0,067
0,029	0,072	0,036
-0,003	0,040	-0,028
-0,067	-0,087	0,036
-0,003	0,008	0,067
0,092	-0,023	-0,092
-0,003	-0,087	0,004
-0,098	-0,023	0,099
0,124	0,104	-0,028
-0,003	-0,023	-0,124
-0,098	-0,087	-0,028
-0,003	-0,023	0,004
0,092	-0,023	-0,028
-0,003	-0,055	-0,124
-0,098	-0,023	-0,028
-0,035	0,104	0,067
0,092	-0,023	-0,028
-0,003	-0,087	-0,060
-0,098	0,104	0,067
-0,035	0,040	0,004
-0,035	-0,055	-0,092
-0,130	0,008	0,004
-0,003	0,072	0,004
0,029	0,008	-0,092
-0,098	-0,055	0,004
-0,035	-0,023	0,099
0,061	0,072	0,004
-0,003	0,008	-0,028
-0,098	-0,055	0,004
-0,003	0,040	0,099
0,061	-0,023	0,004
-0,067	-0,055	0,004
-0,003	0,008	0,099
0,061	0,008	-0,092
-0,067	-0,087	0,004
-0,003	0,040	0,099
0,124	0,072	-0,028
-0,003	-0,055	-0,092
-0,035	0,008	0,067
0,061	0,072	-0,028
-0,035	0,008	-0,092
-0,067	-0,023	0,067
0,092	0,072	0,004
-0,035	0,008	-0,092
-0,098	0,008	0,004
-0,035	0,104	-0,028
-0,003	0,040	-0,092
-0,067	-0,055	-0,028
0,029	0,040	0,004
0,092	0,008	-0,028
0,029	-0,055	0,004
-0,003	-0,055	0,099
0,092	0,104	0,004
-0,003	-0,023	-0,060
-0,035	-0,023	0,067
0,029	0,040	0,004
0,092	0,104	-0,092
-0,003	0,008	0,004
-0,003	-0,023	0,067
0,092	0,072	0,004
-0,003	-0,087	-0,092
-0,130	-0,023	0,099
-0,003	0,072	0,004
-0,003	-0,023	-0,060
-0,067	-0,087	0,004
-0,003	0,104	0,067
0,092	-0,023	0,004
-0,003	-0,055	-0,124
-0,098	0,008	0,004
-0,035	0,104	0,067
0,061	-0,023	-0,060
-0,035	-0,087	-0,028
-0,098	0,104	0,099
0,092	-0,023	0,004
0,029	-0,055	-0,092
-0,067	0,008	0,004
-0,003	0,072	0,099
0,029	-0,023	-0,060
-0,098	-0,055	0,004
-0,003	-0,023	0,067
0,092	0,072	0,004
0,029	-0,087	-0,092
-0,035	-0,023	-0,060
-0,067	0,072	0,067
0,092	0,008	0,004
-0,003	-0,055	-0,060
-0,098	-0,023	0,004
-0,035	-0,023	0,004
0,092	-0,055	-0,124
-0,067	0,008	-0,028
-0,035	0,040	0,067
0,029	-0,023	0,004
-0,035	-0,119	-0,028
-0,098	0,072	0,004
-0,003	-0,023	0,004
0,092	-0,087	-0,028
-0,098	-0,023	0,067
0,061	0,040	0,004
-0,003	0,008	-0,124
-0,067	0,008	0,099
-0,003	0,072	0,004
-0,003	-0,055	-0,060
-0,098	-0,087	0,004
-0,003	-0,023	0,067
0,092	0,008	-0,028
-0,003	-0,023	-0,028
-0,035	0,008	0,099
0,061	0,072	0,004
-0,003	-0,087	0,004
-0,003	0,008	0,099
0,092	0,040	0,004
0,092	-0,087	-0,060
-0,098	0,008	0,004
-0,003	0,072	0,067
0,092	-0,023	-0,092
-0,003	0,008	0,004
-0,003	0,104	0,099
0,061	0,008	-0,028
-0,003	-0,055	0,004
-0,098	0,040	0,004
-0,003	-0,023	0,004
0,092	-0,087	-0,092
-0,035	-0,055	-0,028
-0,067	0,072	0,067
0,029	-0,023	0,004
0,029	-0,055	-0,092
-0,067	0,040	0,004
0,029	0,008	0,004
-0,035	0,008	-0,124
-0,130	-0,023	-0,028
-0,003	0,072	0,036
0,061	-0,023	-0,028
-0,003	-0,055	-0,092
-0,067	0,008	0,004
0,092	-0,023	0,004
-0,003	-0,055	-0,060
-0,067	0,008	0,004
-0,003	0,072	0,099
0,092	-0,023	0,004
-0,003	-0,055	0,067
-0,067	0,104	0,099
0,124	0,104	0,067
-0,003	-0,055	0,004
0,029	0,008	0,067
-0,003	0,008	0,099
-0,003	-0,055	-0,092
-0,067	0,008	0,099
0,124	0,104	0,004
0,029	-0,023	-0,092
-0,035	0,008	0,036
-0,003	0,072	0,067
-0,003	-0,023	-0,092
-0,098	-0,055	0,004
-0,003	-0,023	0,036
0,092	-0,023	-0,060
-0,035	-0,055	0,004
-0,098	0,008	0,004
-0,003	0,104	0,067
-0,003	-0,087	-0,092
-0,035	0,008	-0,028
-0,035	0,072	0,036
-0,035	-0,023	-0,028
-0,035	-0,087	-0,060
-0,067	0,008	0,004
-0,003	0,008	0,067
0,029	-0,055	-0,060
-0,098	0,008	-0,028
-0,003	0,072	-0,028
0,061	-0,055	-0,060
-0,035	0,008	0,004
-0,003	0,072	-0,028
-0,035	-0,023	-0,124
-0,003	0,008	-0,092
0,061	0,072	0,004
0,124	-0,023	0,004
0,029	-0,087	0,004
-0,035	0,104	0,099
0,092	0,104	0,004
-0,003	-0,055	0,004
-0,003	0,008	0,067
0,092	0,008	0,004
0,092	-0,055	-0,092
-0,098	0,008	0,004
-0,003	0,104	0,067
0,061	-0,087	-0,060
-0,035	-0,023	-0,028
0,029	0,104	0,099
0,124	-0,055	-0,092
-0,035	0,008	0,004
-0,003	0,072	0,004
-0,003	-0,055	-0,092
-0,003	-0,023	0,036
-0,003	0,008	0,004
-0,003	0,008	-0,060
-0,035	-0,055	0,004
-0,003	-0,023	0,004
-0,003	-0,023	-0,092
-0,035	-0,023	0,004
-0,035	0,072	0,067
0,092	0,008	0,004
0,029	-0,055	-0,028
0,029	-0,023	0,067
0,124	0,104	0,004
0,029	0,008	0,004
-0,003	-0,023	0,067
0,061	0,072	0,004
-0,003	-0,087	-0,092
-0,067	-0,023	0,067
0,029	0,040	0,004
-0,003	0,008	-0,060
-0,130	-0,055	0,004
-0,003	-0,023	0,099
0,061	0,040	-0,092
-0,003	0,008	0,004
-0,035	-0,023	0,099
0,092	0,072	0,004
-0,035	-0,023	-0,092
-0,067	-0,055	-0,028
-0,003	-0,023	0,099
0,092	0,040	0,036
-0,035	-0,087	-0,060
-0,130	0,008	0,099
-0,003	0,104	0,004
-0,003	-0,023	-0,092
-0,035	-0,055	0,004
0,029	0,040	0,067
0,124	0,104	0,004
-0,003	-0,055	0,036
-0,067	-0,023	0,067
0,092	0,072	0,004
-0,035	0,040	-0,092
-0,003	0,008	0,036
-0,003	0,072	0,099
0,092	0,008	-0,028
-0,003	-0,055	-0,092
-0,098	0,104	0,067
0,061	-0,023	0,004
-0,003	-0,087	-0,092
-0,067	0,104	0,067
0,092	0,008	0,004
-0,003	-0,087	-0,092
-0,098	0,040	-0,028
0,061	0,040	-0,028
-0,035	-0,087	-0,028
-0,003	0,008	0,099
0,061	0,072	0,004
-0,003	-0,023	-0,060
-0,067	-0,087	0,099
0,092	0,072	0,004
-0,003	-0,023	-0,060
-0,098	0,008	0,004
-0,003	0,072	0,099
0,092	-0,023	0,067
-0,003	-0,087	0,036
0,029	0,008	0,036
0,092	0,104	-0,028
-0,003	-0,087	-0,124
-0,098	0,008	0,036
0,029	0,104	0,004
0,029	0,008	-0,060
-0,035	-0,023	0,004
-0,003	0,008	0,036
-0,035	0,040	-0,060
-0,098	-0,055	0,004
-0,003	-0,023	0,131
0,092	0,104	0,036
-0,003	-0,087	-0,060
-0,098	0,008	0,067
-0,003	-0,023	-0,028
-0,003	-0,087	-0,060
-0,098	0,008	0,004
-0,035	0,008	0,004
-0,003	-0,087	-0,092
-0,098	0,008	0,004
-0,003	0,072	0,004
-0,003	0,008	-0,092
-0,067	-0,055	0,004
-0,035	0,104	0,004
-0,003	0,008	-0,092
-0,067	-0,055	0,036
-0,003	0,008	0,004
-0,003	0,008	-0,092
-0,067	-0,119	0,004
-0,003	-0,023	0,099
0,092	-0,023	-0,060
-0,067	-0,055	0,004
-0,003	0,008	0,099
0,092	0,104	0,004
0,029	-0,023	-0,092
-0,067	-0,055	0,067
0,061	0,072	0,004
-0,035	-0,023	-0,060
-0,098	-0,087	0,067
0,061	0,072	0,004
-0,003	-0,023	-0,124
-0,067	-0,023	0,067
-0,003	0,104	0,004
-0,003	0,008	-0,092
-0,067	-0,087	0,036
-0,003	0,104	0,099
0,092	0,008	0,004
-0,003	-0,023	-0,028
-0,003	0,008	0,004
0,092	-0,023	-0,060
-0,098	-0,119	0,004
-0,035	-0,023	0,067
0,092	0,104	0,004
-0,003	-0,087	-0,092
-0,035	0,008	0,067
0,092	0,104	0,004
0,029	0,008	-0,092
-0,067	-0,087	0,004
-0,003	0,008	0,099
0,092	0,008	-0,092
-0,003	-0,055	-0,092
-0,098	0,104	0,099
0,092	-0,023	-0,028
-0,003	-0,087	-0,092
-0,098	0,008	0,036
-0,003	0,008	-0,028
0,061	-0,087	-0,092
-0,003	-0,023	0,004
-0,003	0,040	0,099
0,092	-0,023	-0,092
-0,098	-0,023	0,004
-0,035	-0,023	0,036
0,061	0,008	-0,028
-0,003	-0,055	-0,092
-0,098	-0,023	0,004
-0,035	0,104	0,004
0,061	-0,055	-0,060
-0,130	0,008	0,067
0,061	0,104	0,004
-0,003	0,040	-0,092
-0,067	0,040	0,004
-0,003	0,072	0,004
-0,003	-0,023	-0,060
-0,098	-0,087	0,004
-0,035	-0,023	0,067
0,029	0,008	-0,092
-0,035	-0,087	0,004
-0,067	0,008	0,004
0,092	0,008	0,004
0,124	-0,087	-0,028
-0,098	-0,023	0,036
-0,003	0,040	0,099
0,061	-0,055	-0,092
-0,003	-0,023	0,004
-0,035	0,104	0,004
0,061	0,040	-0,092
-0,003	0,040	0,004
-0,067	0,040	0,067
0,092	0,072	0,004
0,029	0,040	-0,060
-0,035	0,008	0,036
-0,003	0,008	0,099
0,092	0,008	-0,028
-0,003	-0,055	0,004
-0,003	0,008	0,067
0,061	0,104	-0,060
-0,003	-0,023	-0,124
-0,067	-0,023	-0,060
0,029	0,040	-0,028
0,061	-0,023	-0,092
-0,098	-0,087	0,004
0,029	-0,023	0,067
0,061	0,072	-0,028
-0,003	-0,055	-0,028
0,029	0,008	0,067
0,092	0,072	0,004
0,029	-0,087	0,004
-0,098	0,040	0,067
0,061	0,072	0,004
-0,067	-0,055	-0,060
-0,067	-0,023	0,004
-0,003	0,104	0,036
0,092	-0,055	-0,060
-0,067	-0,055	0,004
-0,003	0,072	0,067
0,092	0,008	-0,028
-0,067	-0,055	-0,028
0,029	0,072	0,067
0,124	0,008	0,004
0,061	-0,055	-0,092
-0,067	0,008	0,036
-0,003	0,104	0,036
0,029	0,008	-0,092
-0,098	-0,055	0,036
0,029	0,104	0,004
-0,003	0,008	-0,060
-0,067	-0,055	0,004
-0,003	0,040	0,004
-0,003	0,008	-0,092
-0,098	-0,055	0,004
-0,003	0,072	0,067
0,124	0,008	0,004
-0,035	-0,055	0,004
0,029	0,008	0,067
0,124	-0,023	-0,124
-0,003	-0,087	-0,028
0,029	-0,023	0,067
0,092	0,072	0,004
-0,003	-0,087	0,004
-0,003	0,008	0,099
0,061	0,104	0,067
0,029	-0,087	-0,060
-0,035	-0,023	0,004
-0,003	-0,023	0,099
0,029	-0,087	-0,092
-0,035	0,008	0,099
0,092	0,104	0,004
-0,003	0,008	-0,092
-0,130	-0,055	0,004
-0,003	-0,023	0,067
0,092	0,072	0,004
-0,003	-0,023	-0,028
-0,067	0,008	0,099
0,061	0,104	0,004
-0,003	-0,023	-0,092
-0,098	0,008	0,067
0,092	0,104	0,004
-0,035	-0,055	-0,060
-0,130	0,008	0,004
-0,035	0,072	0,004
0,092	-0,055	0,004
0,061	0,008	-0,028
0,029	0,072	0,067
0,092	-0,023	-0,028
0,029	0,008	0,004
-0,067	0,104	0,067
0,061	0,008	-0,028
-0,003	-0,087	-0,092
-0,067	0,008	0,067
0,029	0,072	0,099
-0,003	0,008	-0,060
-0,098	-0,055	0,004
-0,003	-0,023	0,067
0,061	-0,023	-0,124
-0,098	-0,055	-0,028
-0,003	0,136	0,067
0,061	0,008	-0,092
-0,035	-0,055	-0,028
-0,067	0,040	0,099
0,092	-0,023	-0,092
-0,003	-0,055	-0,092
-0,098	0,040	0,067
0,092	0,104	0,004
-0,003	-0,055	0,004
0,029	0,040	0,099
0,092	0,136	0,004
-0,035	0,008	-0,124
-0,067	-0,055	-0,060
-0,035	0,104	0,004
0,092	0,040	-0,060
-0,067	-0,023	0,004
-0,003	0,104	0,067
0,061	0,040	-0,092
-0,035	-0,087	0,004
-0,003	0,008	0,036
0,092	0,104	-0,028
-0,003	-0,055	0,004
-0,067	0,008	0,099
0,092	0,072	0,004
-0,003	0,008	-0,092
-0,098	-0,087	-0,028
-0,003	0,040	0,004
0,092	-0,023	-0,060
-0,067	-0,055	0,004
-0,003	0,008	0,099
0,124	0,104	0,036
-0,003	0,040	-0,028
-0,035	-0,055	0,131
-0,003	0,008	0,004
-0,035	-0,023	-0,060
-0,098	-0,023	0,004
-0,003	0,072	0,099
0,124	0,008	0,036
0,029	-0,055	-0,092
-0,067	0,104	0,131
0,061	-0,023	0,004
-0,035	-0,087	-0,092
-0,035	0,008	0,131
-0,003	0,104	0,036
0,029	-0,055	-0,060
-0,067	-0,023	0,004
0,029	0,072	0,099
0,092	0,008	-0,092
-0,035	-0,055	0,036
-0,098	0,008	0,099
-0,003	0,104	0,004
0,092	0,008	-0,060
-0,003	-0,055	0,004
-0,003	-0,023	0,067
-0,035	0,008	0,004
0,061	-0,055	-0,060
-0,035	0,040	0,004
-0,035	0,104	0,099
0,092	0,008	-0,092
-0,003	-0,087	-0,092
-0,035	0,008	0,036
-0,003	0,008	-0,028
0,092	-0,055	-0,060
-0,098	0,008	0,004
-0,035	0,104	0,131
0,092	0,040	0,004
-0,003	0,008	0,004
-0,035	0,104	0,099
0,061	0,008	0,004
-0,003	0,008	-0,060
-0,130	0,104	0,099
0,092	0,008	0,004
-0,098	0,008	0,004
-0,003	0,072	0,067
0,124	-0,055	-0,092
0,061	-0,055	0,004
0,061	0,072	-0,028
-0,003	-0,023	-0,124
-0,067	-0,055	0,036
-0,003	0,104	0,004
0,029	0,008	-0,060
-0,098	0,008	0,004
0,124	0,040	-0,028
-0,035	-0,087	-0,092
-0,067	0,008	0,099
0,061	0,072	-0,028
-0,035	-0,023	-0,092
-0,130	-0,087	0,004
-0,035	-0,023	0,004
0,029	-0,023	-0,092
-0,098	-0,087	0,036
-0,035	-0,023	0,131
0,092	0,104	0,036
-0,003	0,008	0,036
-0,067	0,040	0,067
0,124	0,072	0,036
-0,003	-0,023	-0,092
-0,098	-0,087	0,067
0,092	0,104	0,036
-0,003	0,040	-0,060
0,029	0,040	0,036
0,029	0,104	0,099
0,124	-0,023	-0,092
-0,067	0,008	0,004
-0,003	0,072	0,099
0,092	-0,055	-0,028
0,029	-0,023	-0,028
-0,003	0,072	0,067
0,061	-0,023	0,004
-0,003	-0,055	-0,092
-0,035	0,072	0,036
-0,003	-0,023	-0,060
0,092	-0,055	-0,092
-0,098	-0,023	-0,028
-0,003	0,072	0,004
0,124	-0,087	-0,060
-0,067	-0,023	0,004
-0,003	0,072	0,004
-0,003	-0,087	-0,060
-0,098	-0,023	0,067
-0,035	0,072	0,099
0,061	0,008	0,004
-0,098	-0,023	0,004
-0,003	0,072	0,067
0,092	0,008	-0,124
-0,003	-0,055	-0,092
-0,003	0,072	0,099
-0,003	-0,023	0,067
-0,003	0,008	0,004
-0,035	-0,023	0,099
0,092	0,104	0,067
-0,035	-0,023	-0,028
-0,067	-0,055	0,067
-0,003	0,104	0,036
-0,003	0,008	-0,060
-0,067	-0,055	0,004
-0,003	-0,023	-0,028
0,092	-0,023	-0,092
-0,130	-0,055	0,004
-0,003	0,072	0,067
0,061	0,008	0,004
-0,098	0,040	0,004
-0,003	0,072	0,131
0,061	0,008	0,004
-0,003	-0,087	-0,092
-0,067	0,040	0,036
0,092	-0,023	0,004
-0,003	-0,087	0,004
-0,067	0,104	0,099
0,092	0,072	0,004
-0,003	-0,023	-0,028
-0,098	-0,023	0,067
-0,003	0,040	0,099
0,061	0,008	-0,092
-0,035	0,040	0,004
-0,035	0,104	0,099
0,092	-0,023	-0,028
-0,003	-0,087	-0,092
-0,098	-0,023	0,099
-0,035	0,008	-0,028
-0,003	-0,087	-0,092
-0,130	0,008	0,004
-0,003	0,072	0,067
0,092	-0,023	-0,092
-0,098	-0,055	-0,028
-0,003	0,072	0,004
0,092	-0,023	-0,124
-0,098	-0,055	-0,028
-0,003	-0,023	0,004
0,061	-0,023	-0,124
-0,098	-0,055	0,004
0,029	-0,023	0,067
0,092	0,104	-0,124
-0,067	-0,055	-0,028
-0,003	0,008	0,067
0,092	0,104	-0,060
-0,003	-0,055	0,004
-0,003	-0,023	0,036
0,092	0,040	0,004
-0,003	-0,055	0,004
-0,003	-0,023	0,099
0,061	0,008	-0,124
-0,067	-0,087	0,004
0,029	0,008	0,067
0,061	-0,023	0,004
0,029	-0,087	0,004
-0,003	0,072	0,067
0,092	-0,023	0,004
-0,003	-0,087	-0,092
-0,098	0,104	0,067
0,092	0,008	0,004
-0,035	-0,087	0,004
-0,003	-0,023	0,036
0,061	-0,023	-0,092
-0,098	-0,087	-0,028
0,029	-0,023	0,067
0,124	0,072	0,004
0,061	-0,087	0,004
0,029	-0,023	0,067
0,124	0,104	-0,092
-0,067	-0,023	0,004
-0,003	0,104	0,067
0,092	-0,023	0,004
-0,003	-0,087	0,036
-0,003	-0,023	0,099
0,061	-0,055	-0,092
-0,098	-0,087	0,004
-0,003	0,008	0,099
0,092	-0,023	-0,092
-0,003	-0,055	0,004
-0,003	0,008	0,036
0,061	0,008	0,004
-0,003	-0,055	-0,060
-0,098	0,072	0,067
0,092	-0,023	0,004
-0,003	-0,055	-0,028
-0,067	0,072	0,131
0,092	0,008	0,067
-0,003	-0,055	0,036
-0,003	0,104	0,099
0,092	0,008	-0,124
-0,003	-0,055	0,004
-0,003	0,040	0,067
0,029	0,008	0,004
-0,003	-0,055	-0,124
-0,067	0,040	-0,028
-0,003	0,104	0,067
0,124	0,008	0,004
-0,003	-0,055	0,004
-0,067	0,072	0,067
0,092	0,008	0,004
-0,035	-0,023	0,004
-0,035	-0,087	0,099
0,029	0,104	0,004
0,061	0,040	0,004
-0,067	0,040	-0,028
-0,003	0,104	0,004
0,061	-0,023	0,004
-0,003	-0,023	0,036
0,029	0,040	0,099
0,061	0,008	-0,124
-0,098	-0,087	0,004
-0,035	-0,023	0,067
0,061	0,104	0,004
-0,003	-0,087	-0,028
-0,035	-0,023	0,067
0,061	0,040	-0,028
-0,003	-0,023	-0,060
-0,067	0,008	0,067
0,092	0,072	0,004
-0,003	-0,023	-0,060
-0,098	-0,119	0,004
-0,035	0,040	-0,028
0,061	0,072	-0,060
-0,003	-0,087	0,004
-0,067	-0,023	0,099
0,061	0,104	0,067
-0,035	-0,023	-0,060
-0,130	-0,055	0,004
0,029	0,008	0,067
0,092	0,072	0,004
-0,003	-0,023	-0,060
-0,035	-0,023	0,036
-0,003	0,104	0,131
0,124	-0,023	-0,028
0,029	-0,055	0,004
-0,003	0,008	0,099
0,092	0,072	0,004
0,029	0,040	-0,092
-0,035	-0,055	0,004
0,061	0,008	0,004
0,092	0,040	-0,028
0,029	-0,023	0,004
-0,003	0,040	0,067
0,061	0,104	0,004
-0,035	-0,023	-0,092
-0,098	-0,087	-0,028
0,029	0,104	0,067
0,124	0,008	0,004
-0,003	-0,055	-0,092
-0,067	-0,023	-0,028
-0,035	0,072	0,067
0,092	-0,023	0,004
-0,035	-0,087	-0,060
-0,098	-0,023	0,004
-0,003	0,104	0,004
0,061	0,008	0,004
-0,003	-0,023	-0,060
-0,130	0,104	0,099
0,029	-0,023	0,004
-0,003	-0,087	-0,092
-0,098	-0,023	-0,028
-0,003	0,040	0,004
0,061	-0,023	-0,028
-0,003	-0,087	-0,060
-0,098	0,008	0,004
-0,003	-0,023	0,004
0,092	-0,087	-0,092
-0,003	-0,023	0,004
-0,098	0,104	0,067
-0,003	-0,023	0,004
-0,035	-0,087	0,004
-0,098	0,008	0,067
0,061	0,072	-0,028
-0,035	-0,023	-0,060
-0,098	-0,055	0,004
-0,003	-0,023	0,067
0,092	0,072	0,004
0,029	-0,055	0,004
-0,003	-0,023	0,067
0,061	0,072	0,004
-0,003	-0,055	-0,092
-0,035	0,008	0,004
0,061	-0,023	0,004
0,029	-0,023	-0,124
-0,098	-0,087	0,004
-0,003	0,008	0,099
0,092	0,072	0,004
-0,003	-0,023	0,004
-0,098	-0,087	0,099
-0,035	0,040	0,004
0,061	-0,023	-0,124
-0,067	-0,087	-0,124
-0,067	-0,023	0,067
-0,035	-0,023	-0,028
-0,035	-0,055	-0,092
-0,098	0,008	0,004
-0,003	0,040	0,067
0,092	-0,023	-0,092
-0,003	0,008	0,004
-0,003	0,040	0,067
0,092	-0,023	0,004
-0,035	-0,119	-0,028
-0,098	-0,023	0,004
-0,003	-0,023	0,004
0,092	-0,119	-0,028
-0,067	-0,023	0,036
-0,003	0,072	0,099
0,061	0,008	-0,124
-0,035	0,008	0,004
-0,003	0,104	0,067
0,092	0,008	0,036
0,029	-0,055	0,004
-0,067	0,072	0,099
-0,003	0,008	0,004
0,029	-0,087	-0,092
-0,067	-0,023	0,004
-0,003	0,104	0,067
-0,003	0,040	-0,060
-0,035	-0,087	-0,028
-0,035	-0,023	0,099
0,092	0,008	0,004
-0,003	-0,087	0,004
-0,067	0,072	0,067
0,092	0,008	-0,028
-0,035	-0,055	-0,092
-0,098	0,008	0,004
0,092	-0,023	0,036
0,092	-0,087	-0,060
-0,098	-0,023	0,004
-0,035	0,072	0,067
0,092	-0,023	0,036
0,029	-0,087	-0,060
-0,067	-0,023	0,036
-0,003	0,072	0,004
0,092	-0,055	-0,092
-0,067	0,008	0,004
-0,003	0,072	0,067
0,061	0,008	0,004
-0,067	-0,087	0,004
0,061	0,008	0,067
0,124	0,072	0,004
0,029	-0,055	-0,028
-0,003	-0,023	0,067
0,092	0,072	0,004
-0,035	-0,087	-0,060
-0,098	-0,055	0,004
-0,003	0,040	0,099
0,092	0,008	-0,060
-0,003	-0,023	0,004
0,029	0,072	0,099
-0,035	0,040	0,004
0,092	-0,055	-0,092
-0,098	0,008	0,004
-0,003	0,072	0,099
-0,003	-0,023	-0,092
-0,067	0,008	0,004
-0,003	0,104	0,004
-0,003	-0,023	-0,092
-0,067	0,008	0,004
-0,098	0,072	0,067
0,092	0,008	0,004
-0,003	0,008	0,004
-0,067	0,104	0,067
0,061	0,008	-0,060
-0,035	-0,023	0,004
0,029	0,104	0,067
0,092	0,008	0,004
0,029	-0,087	0,004
-0,003	0,072	0,067
0,061	-0,023	0,004
-0,035	-0,087	-0,028
-0,003	-0,023	0,067
0,061	0,008	0,004
-0,003	0,008	-0,028
-0,098	0,008	0,131
-0,003	0,072	0,131
0,092	0,008	-0,028
-0,003	0,008	0,004
-0,003	0,104	0,131
0,061	0,008	-0,028
-0,098	-0,087	0,036
-0,035	0,008	0,067
0,061	0,008	-0,060
-0,098	-0,087	0,004
0,029	-0,023	0,099
0,092	0,008	-0,124
-0,003	-0,087	-0,028
-0,003	-0,023	0,067
0,092	0,072	0,004
-0,003	-0,023	-0,092
-0,098	0,008	0,036
-0,003	0,104	0,036
0,124	-0,055	-0,092
-0,067	-0,023	0,004
0,029	0,104	0,067
0,092	-0,023	-0,028
-0,098	-0,087	-0,028
